book,chapter,verse,reference,text
창세기,4,4,창세기 4:4,아벨은 자기도 양의 첫 새끼와 그 기름으로 드렸더니 여호와께서 아벨과 그 제물은 열납하셨으나
창세기,4,6,창세기 4:6,여호와께서 가인에게 이르시되 네가 분하여 함은 어찜이며 안색이 변함은 어찜이뇨 ?
창세기,4,7,창세기 4:7,네가 선을 행하면 어찌 낯을 들지 못하겠느냐 ? 선을 행치 아니하면 죄가 문에 엎드리느니라 죄의 소원은 네게 있으나 너는 죄를 다스릴지니라
창세기,4,16,창세기 4:16,가인이 여호와의 앞을 떠나 나가 에덴 동편 놋 땅에 거하였더니
창세기,4,19,창세기 4:19,"라멕이 두 아내를 취하였으니 하나의 이름은 아다요, 하나의 이름은 씰라며"
창세기,4,20,창세기 4:20,아다는 야발을 낳았으니 그는 장막에 거하여 육축 치는 자의 조상이 되었고
창세기,4,21,창세기 4:21,그 아우의 이름은 유발이니 그는 수금과 퉁소를 잡는 모든 자의 조상이 되었으며
창세기,4,26,창세기 4:26,셋도 아들을 낳고 그 이름을 에노스라 하였으며 그 때에 사람들이 비로소 여호와의 이름을 불렀더라
창세기,5,2,창세기 5:2,남자와 여자를 창조하셨고 그들이 창조되던 날에 하나님이 그들에게 복을 주시고 그들의 이름을 사람이라 일컬으셨더라
창세기,5,3,창세기 5:3,아담이 일백 삼십세에 자기 모양 곧 자기 형상과 같은 아들을 낳아 이름을 셋이라 하였고
창세기,5,4,창세기 5:4,아담이 셋을 낳은 후 팔백년을 지내며 자녀를 낳았으며
창세기,5,6,창세기 5:6,셋은 일백 오세에 에노스를 낳았고
창세기,5,7,창세기 5:7,에노스를 낳은 후 팔백 칠년을 지내며 자녀를 낳았으며
창세기,5,9,창세기 5:9,에노스는 구십세에 게난을 낳았고
창세기,5,10,창세기 5:10,게난을 낳은 후 팔백 십 오년을 지내며 자녀를 낳았으며
창세기,5,12,창세기 5:12,게난은 칠십세에 마할랄렐을 낳았고
창세기,5,13,창세기 5:13,마할랄렐을 낳은 후 팔백 사십년을 지내며 자녀를 낳았으며
창세기,5,15,창세기 5:15,마할랄렐은 육십 오세에 야렛을 낳았고
창세기,5,16,창세기 5:16,야렛을 낳은 후 팔백 삼십년을 지내며 자녀를 낳았으며
창세기,5,18,창세기 5:18,야렛은 일백 육십 이세에 에녹을 낳았고
창세기,5,19,창세기 5:19,에녹을 낳은 후 팔백년을 지내며 자녀를 낳았으며
창세기,5,21,창세기 5:21,에녹은 육십 오세에 므두셀라를 낳았고
창세기,5,22,창세기 5:22,므두셀라를 낳은 후 삼백년을 하나님과 동행하며 자녀를 낳았으며
창세기,5,25,창세기 5:25,므두셀라는 일백 팔십 칠세에 라멕을 낳았고
창세기,5,26,창세기 5:26,라멕을 낳은 후 칠백 팔십 이년을 지내며 자녀를 낳았으며
창세기,5,28,창세기 5:28,라멕은 일백 팔십 이세에 아들을 낳고
창세기,5,30,창세기 5:30,라멕이 노아를 낳은 후 오백 구십 오년을 지내며 자녀를 낳았으며
창세기,6,1,창세기 6:1,사람이 땅 위에 번성하기 시작할 때에 그들에게서 딸들이 나니
창세기,6,2,창세기 6:2,하나님의 아들들이 사람의 딸들의 아름다움을 보고 자기들의 좋아하는 모든 자로 아내를 삼는지라
창세기,6,3,창세기 6:3,여호와께서 가라사대 나의 신이 영원히 사람과 함께하지 아니하리니 이는 그들이 육체가 됨이라 그러나 그들의 날은 일백 이십년이 되리라 하시니라
창세기,6,9,창세기 6:9,노아의 사적은 이러하니라 노아는 의인이요 당세에 완전한 자라 그가 하나님과 동행하였으며
창세기,6,14,창세기 6:14,너는 잣나무로 너를 위하여 방주를 짓되 그 안에 간들을 막고 역청으로 그 안팎에 칠하라
창세기,6,16,창세기 6:16,거기 창을 내되 위에서부터 한 규빗에 내고 그 문은 옆으로 내고 상 중 하 삼층으로 할지니라
창세기,6,18,창세기 6:18,그러나 너와는 내가 내 언약을 세우리니 너는 네 아들들과 네 아내와 네 자부들과 함께 그 방주로 들어가고
창세기,6,20,창세기 6:20,"새가 그 종류대로, 육축이 그 종류대로, 땅에 기는 모든 것이 그 종류대로, 각기 둘씩 네게로 나아오리니 그 생명을 보존케하라"
창세기,6,21,창세기 6:21,너는 먹을 모든 식물을 네게로 가져다가 저축하라 이것이 너와 그들의 식물이 되리라
창세기,6,22,창세기 6:22,노아가 그와 같이 하되 하나님이 자기에게 명하신 대로 다 준행하였더라 !
창세기,7,1,창세기 7:1,여호와께서 노아에게 이르시되 너와 네 온 집은 방주로 들어가라 네가 이 세대에 내 앞에서 의로움을 내가 보았음이니라 !
창세기,7,3,창세기 7:3,공중의 새도 암수 일곱씩을 취하여 그 씨를 온 지면에 유전케하라
창세기,7,5,창세기 7:5,노아가 여호와께서 자기에게 명하신 대로 다 준행하였더라 !
창세기,7,6,창세기 7:6,홍수가 땅에 있을 때에 노아가 육백세라
창세기,7,7,창세기 7:7,노아가 아들들과 아내와 자부들과 함께 홍수를 피하여 방주에 들어갔고
창세기,7,8,창세기 7:8,정결한 짐승과 부정한 짐승과 새와 땅에 기는 모든 것이
창세기,7,9,창세기 7:9,하나님이 노아에게 명하신 대로 암수 둘씩 노아에게 나아와 방주로 들어갔더니
창세기,7,14,창세기 7:14,"그들과 모든 들짐승이 그 종류대로, 모든 육축이 그 종류대로, 땅에 기는 모든 것이 그 종류대로, 모든 새 곧 각양의 새가 그 종류대로"
창세기,7,15,창세기 7:15,무릇 기식이 있는 육체가 둘씩 노아에게 나아와 방주로 들어갔으니
창세기,7,16,창세기 7:16,"들어간 것들은 모든 것의 암,수라 하나님이 그에게 명하신대로 들어가매 여호와께서 그를 닫아 넣으시니라"
창세기,8,1,창세기 8:1,하나님이 노아와 그와 함께 방주에 있는 모든 들짐승과 육축을 권념하사 바람으로 땅 위에 불게 하시매 물이 감하였고
창세기,8,2,창세기 8:2,깊음의 샘과 하늘의 창이 막히고 하늘에서 비가 그치매
창세기,8,3,창세기 8:3,물이 땅에서 물러가고 점점 물러가서 일백 오십일 후에 감하고
창세기,8,4,창세기 8:4,칠월 곧 그 달 십칠일에 방주가 아라랏 산에 머물렀으며
창세기,8,5,창세기 8:5,물이 점점 감하여 시월 곧 그달 일일에 산들의 봉우리가 보였더라
창세기,8,6,창세기 8:6,사십일을 지나서 노아가 그 방주에 지은 창을 열고
창세기,8,9,창세기 8:9,온 지면에 물이 있으므로 비둘기가 접족할 곳을 찾지 못하고 방주로 돌아와 그에게로 오는지라 그가 손을 내밀어 방주 속 자기에게로 받아 들이고
창세기,8,10,창세기 8:10,또 칠일을 기다려 다시 비둘기를 방주에서 내어 놓으매
창세기,8,11,창세기 8:11,저녁때에 비둘기가 그에게로 돌아왔는데 그 입에 감람 새 잎사귀가 있는지라 이에 노아가 땅에 물이 감한 줄 알았으며
창세기,8,13,창세기 8:13,육백 일년 정월 곧 그 달 일일에 지면에 물이 걷힌지라 노아가 방주 뚜껑을 제치고 본즉 지면에 물이 걷혔더니
창세기,8,14,창세기 8:14,이월 이십 칠일에 땅이 말랐더라
창세기,8,15,창세기 8:15,하나님이 노아에게 말씀하여 가라사대
창세기,8,16,창세기 8:16,너는 네 아내와 네 아들들과 네 자부들로 더불어 방주에서 나오고
창세기,8,17,창세기 8:17,너와 함께 한 모든 혈육 있는 생물 곧 새와 육축과 땅에 기는 모든 것을 다 이끌어 내라 이것들이 땅에서 생육하고 땅에서 번성하리라 하시매
창세기,8,18,창세기 8:18,노아가 그 아들들과 그 아내와 그 자부들과 함께 나왔고
창세기,8,19,창세기 8:19,땅위의 동물 곧 모든 짐승과 모든 기는 것과 모든 새도 그 종류대로 방주에서 나왔더라
창세기,8,21,창세기 8:21,여호와께서 그 향기를 흠향하시고 그 중심에 이르시되 내가 다시는 사람으로 인하여 땅을 저주하지 아니하리니 이는 사람의 마음의 계획하는 바가 어려서부터 악함이라 내가 전에 행한 것 같이 모든 생물을 멸하지 아니하리니
창세기,8,22,창세기 8:22,"땅이 있을 동안에는 심음과, 거둠과, 추위와, 더위와, 여름과, 겨울과, 낮과, 밤이 쉬지 아니하리라"
창세기,9,1,창세기 9:1,하나님이 노아와 그 아들들에게 복을 주시며 그들에게 이르시되 생육하고 번성하여 땅에 충만하라 !
창세기,9,2,창세기 9:2,땅의 모든 짐승과 공중의 모든 새와 땅에 기는 모든 것과 바다의 모든 고기가 너희를 두려워하며 너희를 무서워하리니 이들은 너희 손에 붙이웠음이라
창세기,9,3,창세기 9:3,무릇 산 동물은 너희의 식물이 될지라 채소같이 내가 이것을 다 너희에게 주노라
창세기,9,4,창세기 9:4,그러나 고기를 그 생명 되는 피 채 먹지 말 것이니라
창세기,9,7,창세기 9:7,너희는 생육하고 번성하며 땅에 편만하여 그 중에서 번성하라 하셨더라
창세기,9,8,창세기 9:8,하나님이 노아와 그와 함께 한 아들들에게 일러 가라사대
창세기,9,10,창세기 9:10,너희와 함께 한 모든 생물 곧 너희와 함께 한 새와 육축과 땅의 모든 생물에게 세우리니 방주에서 나온 모든 것 곧 땅의 모든 짐승에게니라
창세기,9,11,창세기 9:11,내가 너희와 언약을 세우리니 다시는 모든 생물을 홍수로 멸하지 아니할 것이라 땅을 침몰할 홍수가 다시 있지 아니하리라
창세기,9,12,창세기 9:12,하나님이 가라사대 내가 나와 너희와 및 너희와 함께 하는 모든 생물 사이에 영세까지 세우는 언약의 증거는 이것이라
창세기,9,13,창세기 9:13,내가 내 무지개를 구름 속에 두었나니 이것이 나의 세상과의 언약의 증거니라
창세기,9,14,창세기 9:14,내가 구름으로 땅을 덮을 때에 무지개가 구름 속에 나타나면
창세기,9,15,창세기 9:15,내가 나와 너희와 및 혈기 있는 모든 생물사이의 내 언약을 기억하리니 다시는 물이 모든 혈기 있는 자를 멸하는 홍수가 되지 아니할지라
창세기,9,16,창세기 9:16,무지개가 구름 사이에 있으리니 내가 보고 나 하나님과 땅의 무릇 혈기 있는 모든 생물 사이에 된 영원한 언약을 기억하리라
창세기,9,17,창세기 9:17,하나님이 노아에게 또 이르시되 내가 나와 땅에 있는 모든 생물 사이에 세운 언약의 증거가 이것이라 하셨더라
창세기,9,19,창세기 9:19,노아의 이 세 아들로 좇아 백성이 온 땅에 퍼지니라
창세기,9,20,창세기 9:20,노아가 농업을 시작하여 포도나무를 심었더니
창세기,9,28,창세기 9:28,홍수 후에 노아가 삼백 오십년을 지내었고
창세기,10,5,창세기 10:5,이들로부터 여러 나라 백성으로 나뉘어서 각기 방언과 종족과 나라대로 바닷가의 땅에 머물렀더라
창세기,10,8,창세기 10:8,구스가 또 니므롯을 낳았으니 그는 세상에 처음 영걸이라
창세기,11,5,창세기 11:5,여호와께서 인생들의 쌓는 성과 대를 보시려고 강림하셨더라
창세기,11,6,창세기 11:6,"여호와께서 가라사대 이 무리가 한 족속이요, 언어도 하나이므로 이같이 시작하였으니 이후로는 그 경영하는 일을 금지할 수 없으리로다"
창세기,11,9,창세기 11:9,그러므로 그 이름을 바벨이라 하니 이는 여호와께서 거기서 온 땅의 언어를 혼잡케 하셨음이라 여호와께서 거기서 그들을 온 지면에 흩으셨더라
창세기,12,1,창세기 12:1,여호와께서 아브람에게 이르시되 너는 너의 본토 친척 아비 집을 떠나 내가 네게 지시할 땅으로 가라
창세기,12,2,창세기 12:2,내가 너로 큰 민족을 이루고 네게 복을 주어 네 이름을 창대케 하리니 너는 복의 근원이 될지라 !
창세기,12,7,창세기 12:7,여호와께서 아브람에게 나타나 가라사대 내가 이 땅을 네 자손에게 주리라 하신지라 그가 자기에게 나타나신 여호와를 위하여 그 곳에 단을 쌓고
창세기,12,8,창세기 12:8,"거기서 벧엘 동편 산으로 옮겨 장막을 치니 서는 벧엘이요, 동은 아이라 그가 그 곳에서 여호와를 위하여 단을 쌓고 여호와의 이름을 부르더니"
창세기,12,9,창세기 12:9,점점 남방으로 옮겨 갔더라
창세기,12,19,창세기 12:19,네가 어찌 그를 누이라 하여 나로 그를 취하여 아내를 삼게 하였느냐 ? 네 아내가 여기 있으니 이제 데려 가라' 하고
창세기,13,4,창세기 13:4,그가 처음으로 단을 쌓은 곳이라 그가 거기서 여호와의 이름을 불렀더라
창세기,13,5,창세기 13:5,아브람의 일행 롯도 양과 소와 장막이 있으므로
창세기,13,6,창세기 13:6,그 땅이 그들의 동거함을 용납지 못하였으니 곧 그들의 소유가 많아서 동거할 수 없었음이라
창세기,13,9,창세기 13:9,"네 앞에 온 땅이 있지 아니하냐 ? 나를 떠나라 네가 좌하면 나는 우하고, 네가 우하면 나는 좌하리라'"
창세기,13,14,창세기 13:14,롯이 아브람을 떠난 후에 여호와께서 아브람에게 이르시되 너는 눈을 들어 너 있는 곳에서 동서남북을 바라보라 !
창세기,13,15,창세기 13:15,보이는 땅을 내가 너와 네 자손에게 주리니 영원히 이르리라
창세기,13,16,창세기 13:16,내가 네 자손으로 땅의 티끌 같게 하리니 사람이 땅의 티끌을 능히 셀수 있을진대 네 자손도 세리라
창세기,13,17,창세기 13:17,너는 일어나 그 땅을 종과 횡으로 행하여 보라 ! 내가 그것을 네게 주리라
창세기,14,3,창세기 14:3,이들이 다 싯딤 골짜기 곧 지금 염해에 모였더라
창세기,14,13,창세기 14:13,도망한 자가 와서 히브리 사람 아브람에게 고하니 때에 아브람이 아모리 족속 마므레의 상수리 수풀 근처에 거하였더라 마므레는 에스골의 형제요 또 아넬의 형제라 이들은 아브람과 동맹한 자더라
창세기,14,14,창세기 14:14,아브람이 그 조카의 사로 잡혔음을 듣고 집에서 길리고 연습한 자 삼백 십 팔인을 거느리고 단까지 쫓아가서
창세기,14,16,창세기 14:16,모든 빼앗겼던 재물과 자기 조카 롯과 그 재물과 또 부녀와 인민을 다 찾아 왔더라
창세기,14,23,창세기 14:23,네 말이 내가 아브람으로 치부케 하였다 할까 하여 네게 속한 것은 무론 한 실이나 신들메라도 내가 취하지 아니하리라
창세기,14,24,창세기 14:24,오직 소년들의 먹은 것과 나와 동행한 아넬과 에스골과 마므레의 분깃을 제할지니 그들이 그 분깃을 취할 것이니라'
창세기,15,1,창세기 15:1,"이 후에 여호와의 말씀이 이상 중에 아브람에게 임하여 가라사대 아브람아 두려워 말라! 나는 너의 방패요, 너의 지극히 큰 상급이니라"
창세기,15,4,창세기 15:4,여호와의 말씀이 그에게 임하여 가라사대 그 사람은 너의 후사가 아니라 네 몸에서 날 자가 네 후사가 되리라 하시고
창세기,15,6,창세기 15:6,아브람이 여호와를 믿으니 여호와께서 이를 그의 의로 여기시고
창세기,15,7,창세기 15:7,또 그에게 이르시되 나는 이 땅을 네게 주어 업을 삼게 하려고 너를 갈대아 우르에서 이끌어 낸 여호와로라 !
창세기,15,9,창세기 15:9,"여호와께서 그에게 이르시되 나를 위하여 삼년 된 암소와, 삼년 된 암염소와, 삼년 된 수양과, 산비둘기와, 집비둘기 새끼를 취할지니라"
창세기,15,10,창세기 15:10,아브람이 그 모든 것을 취하여 그 중간을 쪼개고 그 쪼갠 것을 마주 대하여 놓고 그 새는 쪼개지 아니하였으며
창세기,15,15,창세기 15:15,너는 장수하다가 평안히 조상에게로 돌아가 장사될 것이요
창세기,15,17,창세기 15:17,해가 져서 어둘 때에 연기 나는 풀무가 보이며 타는 횃불이 쪼갠 고기 사이로 지나더라
창세기,16,4,창세기 16:4,아브람이 하갈과 동침하였더니 하갈이 잉태하매 그가 자기의 잉태함을 깨닫고 그 여주인을 멸시한지라
창세기,16,7,창세기 16:7,여호와의 사자가 광야의 샘 곁 곧 술 길 샘물 곁에서 그를 만나
창세기,16,13,창세기 16:13,하갈이 자기에게 이르신 여호와의 이름을 감찰하시는 하나님이라 하였으니 이는 `내가 어떻게 여기서 나를 감찰하시는 하나님을 뵈었는고' 함이라
창세기,17,1,창세기 17:1,아브람의 구십 구세 때에 여호와께서 아브람에게 나타나서 그에게 이르시되 나는 전능한 하나님이라 ! 너는 내 앞에서 행하여 완전하라 !
창세기,17,2,창세기 17:2,내가 내 언약을 나와 너 사이에 세워 너로 심히 번성케 하리라 하시니
창세기,17,3,창세기 17:3,아브람이 엎드린대 하나님이 또 그에게 일러 가라사대
창세기,17,4,창세기 17:4,내가 너와 내 언약을 세우니 너는 열국의 아비가 될지라
창세기,17,6,창세기 17:6,내가 너로 심히 번성케 하리니 나라들이 네게로 좇아 일어나며 열왕이 네게로 좇아나리라
창세기,17,7,창세기 17:7,내가 내 언약을 나와 너와 네 대대 후손의 사이에 세워서 영원한 언약을 삼고 너와 네 후손의 하나님이 되리라
창세기,17,11,창세기 17:11,너희는 양피를 베어라 이것이 나와 너희 사이의 언약의 표징이니라
창세기,17,16,창세기 17:16,내가 그에게 복을 주어 그로 네게 아들을 낳아 주게 하며 내가 그에게 복을 주어 그로 열국의 어미가 되게 하리니 민족의 열왕이 그에게서 나리라
창세기,18,2,창세기 18:2,눈을 들어 본즉 사람 셋이 맞은편에 섰는지라 그가 그들을 보자 곧 장막 문에서 달려나가 영접하며 몸을 땅에 굽혀
창세기,18,4,창세기 18:4,물을 조금 가져오게 하사 당신들의 발을 씻으시고 나무 아래서 쉬소서
창세기,18,14,창세기 18:14,여호와께 능치 못한 일이 있겠느냐 ! 기한이 이를 때에 내가 네게로 돌아오리니 사라에게 아들이 있으리라
창세기,18,24,창세기 18:24,그 성 중에 의인 오십이 있을지라도 주께서 그 곳을 멸하시고 그 오십 의인을 위하여 용서치 아니하시리이까 ?
창세기,18,25,창세기 18:25,주께서 이같이 하사 의인을 악인과 함께 죽이심은 불가하오며 의인과 악인을 균등히 하심도 불가하니이다 세상을 심판하시는 이가 공의를 행하실 것이 아니니이까 ?'
창세기,18,28,창세기 18:28,오십 의인 중에 오인이 부족할 것이면 그 오인 부족함을 인하여 온 성을 멸하시리이까 ?' 가라사대 내가 거기서 사십 오인을 찾으면 멸하지 아니하리라
창세기,19,6,창세기 19:6,롯이 문 밖의 무리에게로 나가서 뒤로 문을 닫고
창세기,19,10,창세기 19:10,그 사람들이 손을 내밀어 롯을 집으로 끌어들이고 문을 닫으며
창세기,19,19,창세기 19:19,종이 주께 은혜를 얻었고 주께서 큰 인자를 내게 베푸사 내 생명을 구원하시오나 내가 도망하여 산까지 갈 수 없나이다 두렵건대 재앙을 만나 죽을까 하나이다
창세기,19,20,창세기 19:20,보소서 저 성은 도망하기 가깝고 작기도 하오니 나로 그 곳에 도망하게 하소서 이는 작은 성이 아니니이까 ? 내 생명이 보존되리이다'
창세기,19,22,창세기 19:22,그리로 속희 도망하라 네가 거기 이르기까지는 내가 아무 일도 행할 수 없노라 하였더라 그러므로 그 성 이름을 소알이라 불렀 더라
창세기,19,30,창세기 19:30,롯이 소알에 거하기를 두려워하여 두 딸과 함께 소알에서 나와 산에 올라 거하되 그 두 딸과 함께 굴에 거하였더니
창세기,20,2,창세기 20:2,그 아내 사라를 자기 누이라 하였으므로 그랄 왕 아비멜렉이 보내어 사라를 취하였더니
창세기,20,6,창세기 20:6,하나님이 꿈에 또 그에게 이르시되 네가 온전한 마음으로 이렇게 한 줄을 나도 알았으므로 너를 막아 내게 범죄하지 않게 하였나니 여인에게 가까이 못하게 함이 이 까닭이니라
창세기,20,12,창세기 20:12,또 그는 실로 나의 이복 누이로서 내 처가 되었음이니라
창세기,20,13,창세기 20:13,하나님이 나로 내 아비 집을 떠나 두루 다니게 하실 때에 내가 아내에게 말하기를 이후로 우리의 가는 곳마다 그대는 나를 그대의 오라비라 하라 이것이 그대가 내게 베풀 은혜라 하였었노라`
창세기,21,1,창세기 21:1,여호와께서 그 말씀대로 사라를 권고하셨고 여호와께서 그 말씀대로 사라에게 행하셨으므로
창세기,21,13,창세기 21:13,그러나 여종의 아들도 네 씨니 내가 그로 한 민족을 이루게 하리라 하신지라
창세기,21,15,창세기 21:15,가죽부대의 물이 다한지라 그 자식을 떨기나무 아래 두며
창세기,21,17,창세기 21:17,"하나님이 그 아이의 소리를 들으시므로 하나님의 사자가 하늘에서부터 하갈을 불러 가라사대 `하갈아, 무슨 일이냐 ? 두려워 말라 ! 하나님이 거기 있는 아이의 소리를 들으셨나니"
창세기,21,18,창세기 21:18,일어나 아이를 일으켜 네 손으로 붙들라 그로 큰 민족을 이루게 하리라' 하시니라
창세기,21,19,창세기 21:19,하나님이 하갈의 눈을 밝히시매 샘물을 보고 가서 가죽부대에 물을 채워다가 그 아이에게 마시웠더라
창세기,21,20,창세기 21:20,하나님이 그 아이와 함께 계시매 그가 장성하여 광야에 거하며 활쏘는 자가 되었더니
창세기,22,12,창세기 22:12,사자가 가라사대 `그 아이에게 네 손을 대지 말라 아무 일도 그에게 하지 말라 네가 네 아들 네 독자라도 내게 아끼지 아니하였으니 내가 이제야 네가 하나님을 경외하는 줄을 아노라'
창세기,22,16,창세기 22:16,가라사대 여호와께서 이르시기를 내가 나를 가리켜 맹세하노니 네가 이같이 행하여 네 아들 네 독자를 아끼지 아니하였은즉
창세기,22,17,창세기 22:17,내가 네게 큰 복을 주고 네 씨로 크게 성하여 하늘의 별과 같고 바닷가의 모래와 같게 하리니 네 씨가 그 대적의 문을 얻으리라
창세기,22,18,창세기 22:18,또 네 씨로 말미암아 천하 만민이 복을 얻으리니 이는 네가 나의 말을 준행하였음이니라 ! 하셨다 하니라
창세기,23,1,창세기 23:1,사라가 일백 이십 칠세를 살았으니 이것이 곧 사라의 향년이라
