index,grade,reason,reference,text
13,B,,누가복음 6:21,이제 주린 자는 복이 있나니 너희가 배부름을 얻을 것임이요 이제 우는 자는 복이 있나니 너희가 웃을 것임이요
14,C,난해,야고보서 2:5,내 사랑하는 형제들아 들을지어다 하나님이 세상에 대하여는 가난한 자를 택하사 믿음에 부요하게 하시고 또 자기를 사랑하는 자들에게 약속하신 나라를 유업으로 받게 아니하셨느냐
15,C,조각,베드로전서 3:15,너희 마음에 그리스도를 주로 삼아 거룩하게 하고 너희 속에 있는 소망에 관한 이유를 묻는 자에게는 대답할 것을 항상 예비하되 온유와 두려움으로 하고
16,C,난해,마태복음 12:18,보라 나의 택한 종 곧 내 마음에 기뻐하는 바 나의 사랑하는 자로다 내가 내 성령을 줄 터이니 그가 심판을 이방에 알게 하리라
17,C,인물,사무엘하 7:27,"만군의 여호와 이스라엘의 하나님이여, 주의 종에게 알게 하여 이르시기를 내가 너를 위하여 집을 세우리라 하신고로 주의 종이 이 기도로 구할 마음이 생겼나이다"
18,C,서사,사무엘상 26:24,오늘날 왕의 생명을 내가 중히 여긴 것 같이 내 생명을 여호와께서 중히 여기셔서 모든 환난에서 나를 구하여 내시기를 바라나이다
19,B,,디모데전서 1:14,우리 주의 은혜가 그리스도 예수 안에 있는 믿음과 사랑과 함께 넘치도록 풍성하였도다
20,C,서사,역대상 29:9,백성이 자기의 즐거이 드림으로 기뻐하였으니 곧 저희가 성심으로 여호와께 즐거이 드림이며 다윗 왕도 기쁨을 이기지 못하여 하니라
21,A,,갈라디아서 6:9,우리가 선을 행하되 낙심하지 말지니 피곤하지 아니하면 때가 이르매 거두리라
22,A,,출애굽기 15:2,"여호와는 나의 힘이요, 노래시며, 나의 구원이시로다 그는 나의 하나님이시니 내가 그를 찬송할 것이요 내 아비의 하나님이시니 내가 그를 높이리로다"
23,B,,여호수아 23:11,그러므로 스스로 조심하여 너희 하나님 여호와를 사랑하라!
24,B,,골로새서 4:2,기도를 항상 힘쓰고 기도에 감사함으로 깨어 있으라
25,C,조각,디모데후서 1:10,이제는 우리 구주 그리스도 예수의 나타나심으로 말미암아 나타났으니 저는 사망을 폐하시고 복음으로써 생명과 썩지 아니할 것을 드러내신지라
26,C,조각,디도서 3:5,우리를 구원하시되 우리의 행한 바 의로운 행위로 말미암지 아니하고 오직 그의 긍휼하심을 좇아 중생의 씻음과 성령의 새롭게 하심으로 하셨나니
27,B,,다니엘 12:3,지혜 있는 자는 궁창의 빛과 같이 빛날 것이요 많은 사람을 옳은데로 돌아오게 한 자는 별과 같이 영원토록 비취리라
28,A,,고린도전서 13:13,"그런즉 믿음, 소망, 사랑, 이 세가지는 항상 있을 것인데 그 중에 제일은 사랑이라!"
29,C,예언,에스겔 28:26,그들이 그 가운데 평안히 거하여 집을 건축하며 포도원을 심고 그들의 사면에서 멸시하던 모든 자를 내가 국문할 때에 그들이 평안히 살며 나를 그 하나님 여호와인 줄 알리라
30,C,서사,열왕기상 18:39,모든 백성이 보고 엎드려 말하되 여호와 그는 하나님이시로다 여호와 그는 하나님이시로다 하니
31,B,,데살로니가후서 3:16,평강의 주께서 친히 때마다 일마다 너희에게 평강을 주시기를 원하노라 주는 너희 모든 사람과 함께 하실지어다
32,C,화자,욥기 33:26,그는 하나님께 기도하므로 하나님이 은혜를 베푸사 그로 자기의 얼굴을 즐거이 보게 하시고 사람에게 그 의를 회복시키시느니라
33,A,,요한일서 4:16,하나님이 우리를 사랑하시는 사랑을 우리가 알고 믿었노니 하나님은 사랑이시라 사랑 안에 거하는 자는 하나님 안에 거하고 하나님도 그 안에 거하시느니라
34,C,서사,민수기 14:8,여호와께서 우리를 기뻐하시면 우리를 그 땅으로 인도하여 들이시고 그 땅을 우리에게 주시리라 이는 과연 젖과 꿀이 흐르는 땅이니라
35,C,서사,창세기 39:2,여호와께서 요셉과 함께 하시므로 그가 형통한 자가 되어 그 주인 애굽 사람의 집에 있으니
36,C,율법,레위기 25:38,나는 너희 하나님이 되려고 또는 가나안 땅으로 너희에게 주려고 애굽 땅에서 너희를 인도하여 낸 너희 하나님 여호와니라!
37,C,서사,스가랴 1:13,"여호와께서 내게 말하는 천사에게 선한 말씀, 위로하는 말씀으로 대답하시더라"
38,B,,전도서 9:7,너는 가서 기쁨으로 네 식물을 먹고 즐거운 마음으로 네 포도주를 마실지어다 이는 하나님이 너의 하는 일을 벌써 기쁘게 받으셨음이니라
39,A,,미가 7:7,오직 나는 여호와를 우러러보며 나를 구원하시는 하나님을 바라보나니 하나님이 나를 들으시리로다
40,C,메타,베드로후서 3:15,또 우리 주의 오래 참으심이 구원이 될 줄로 여기라 우리 사랑하는 형제 바울도 그 받은 지혜대로 너희에게 이같이 썼고
41,B,,요한계시록 22:17,성령과 신부가 말씀하시기를 오라 하시는도다 듣는 자도 오라 할 것이요 목마른 자도 올 것이요 또 원하는 자는 값없이 생명수를 받으라 하시더라
42,C,서사,열왕기하 19:19,우리 하나님 여호와여 원컨대 이제 우리를 그 손에서 구원하옵소서 그리하시면 천하 만국이 주 여호와는 홀로 하나님이신줄 알리이다 하니라
43,A,,데살로니가전서 5:18,범사에 감사하라! 이는 그리스도 예수 안에서 너희를 향하신 하나님의 뜻이니라
44,C,인사,빌레몬서 1:25,우리 주 예수 그리스도의 은혜가 너희 심령과 함께 할지어다!
45,A,,하박국 3:18,나는 여호와를 인하여 즐거워하며 나의 구원의 하나님을 인하여 기뻐하리로다!
46,B,,요나 2:9,나는 감사하는 목소리로 주께 제사를 드리며 나의 서원을 주께 갚겠나이다 구원은 여호와께로서 말미암나이다 하니라
47,C,서사,룻기 2:4,마침 보아스가 베들레헴에서부터 와서 베는 자들에게 이르되 여호와께서 너희가 함께 하시기를 원하노라 그들이 대답하되 여호와께서 당신에게 복 주시기를 원하나이다
48,C,인사,유다서 1:2,긍휼과 평강과 사랑이 너희에게 더욱 많을지어다!
49,C,인물,사사기 6:16,여호와께서 그에게 이르시되 내가 반드시 너와 함께 하리니 네가 미디안 사람 치기를 한 사람을 치듯 하리라
50,C,서사,느헤미야 9:19,주께서는 연하여 긍휼을 베푸사 저희를 광야에 버리지 아니하시고 낮에는 구름 기둥으로 길을 인도하시며 밤에는 불 기둥으로 그 행할 길을 비취사 떠나게 아니하셨사오며
51,B,,요한삼서 1:2,사랑하는 자여 네 영혼이 잘됨 같이 네가 범사에 잘되고 강건하기를 내가 간구하노라
52,B,,아모스 5:15,너희는 악을 미워하고 선을 사랑하며 성문에서 공의를 세울지어다 만군의 하나님 여호와께서 혹시 요셉의 남은 자를 긍휼히 여기시리라
53,A,,예레미야애가 3:25,무릇 기다리는 자에게나 구하는 영혼에게 여호와께서 선을 베푸시는 도다
54,B,,마가복음 8:35,누구든지 제 목숨을 구원코자 하면 잃을 것이요 누구든지 나와 복음을 위하여 제 목숨을 잃으면 구원하리라
55,C,서사,에스라 1:3,이스라엘의 하나님은 참 신이시라 너희 중에 무릇 그 백성 된 자는 다 유다 예루살렘으로 올라가서 거기 있는 여호와의 전을 건축하라! 너희 하나님이 함께 하시기를 원하노라
56,A,,호세아 6:1,오라 우리가 여호와께로 돌아가자 여호와께서 우리를 찢으셨으나 도로 낫게 하실 것이요 우리를 치셨으나 싸매어 주실 것임이라
57,B,,말라기 4:2,내 이름을 경외하는 너희에게는 의로운 해가 떠올라서 치료하는 광선을 발하리니 너희가 나가서 외양간에서 나온 송아지 같이 뛰리라
58,C,인사,요한이서 1:3,은혜와 긍휼과 평강이 하나님 아버지와 아버지의 아들 예수 그리스도께로부터 진리와 사랑 가운데서 우리와 함께 있으리라
59,A,,요엘 2:21,땅이여! 두려워 말고 기뻐하며 즐거워할지어다 여호와께서 큰 일을 행하셨음이로다
60,A,,스바냐 3:17,너의 하나님 여호와가 너의 가운데 계시니 그는 구원을 베푸실 전능자시라 그가 너로 인하여 기쁨을 이기지 못하여 하시며 너를 잠잠히 사랑하시며 너로 인하여 즐거이 부르며 기뻐하시리라 하리라
61,B,,시편 5:11,오직 주에게 피하는 자는 다 기뻐하며 주의 보호로 인하여 영영히 기뻐 외치며 주의 이름을 사랑하는 자들은 주를 즐거워하리이다
62,B,,이사야 43:4,내가 너를 보배롭고 존귀하게 여기고 너를 사랑하였은즉 내가 사람들을 주어 너를 바꾸며 백성들로 네 생명을 대신하리니
63,A,,잠언 4:7,지혜가 제일이니 지혜를 얻으라! 무릇 너의 얻은 것을 가져 명철을 얻을지니라
64,B,,로마서 14:17,하나님의 나라는 먹는 것과 마시는 것이 아니요 오직 성령 안에서 의와 평강과 희락이라
65,C,율법,신명기 20:4,너희 하나님 여호와는 너희와 함께 행하시며 너희를 위하여 너희 대적을 치고 너희를 구원하시는 자니라 할 것이며
66,B,,고린도후서 2:14,항상 우리를 그리스도 안에서 이기게 하시고 우리로 말미암아 각처에서 그리스도를 아는 냄새를 나타내시는 하나님께 감사하노라
67,A,,요한복음 15:9,아버지께서 나를 사랑하신 것같이 나도 너희를 사랑하였으니 나의 사랑 안에 거하라
68,C,조각,히브리서 6:18,이는 하나님이 거짓말을 하실 수 없는 이 두 가지 변치 못할 사실을 인하여 앞에 있는 소망을 얻으려고 피하여 가는 우리로 큰 안위를 받게 하려 하심이라
69,C,서사,사도행전 9:31,그리하여 온 유대와 갈릴리와 사마리아 교회가 평안하여 든든히 서가고 주를 경외함과 성령의 위로로 진행하여 수가 더 많아지니라
70,C,예언,예레미야 23:6,그의 날에 유다는 구원을 얻겠고 이스라엘은 평안히 거할 것이며 그 이름은 여호와 우리의 의라 일컬음을 받으리라
71,C,조각,빌립보서 3:9,그 안에서 발견되려 함이니 내가 가진 의는 율법에서 난 것이 아니요 오직 그리스도를 믿음으로 말미암은 것이니 곧 믿음으로 하나님께로서 난 의라
72,C,서사,역대하 26:5,하나님의 묵시를 밝히 아는 스가랴의 사는 날에 하나님을 구하였고 저가 여호와를 구할 동안에는 하나님이 형통케 하셨더라
73,B,,에베소서 5:25,남편들아! 아내 사랑하기를 그리스도께서 교회를 사랑하시고 위하여 자신을 주심같이 하라
74,C,인물,누가복음 22:32,그러나 내가 너를 위하여 네 믿음이 떨어지지 않기를 기도하였노니 너는 돌이킨 후에 네 형제를 굳게 하라
75,A,,야고보서 3:18,화평케 하는 자들은 화평으로 심어 의의 열매를 거두느니라
76,C,조각,베드로전서 3:8,마지막으로 말하노니 너희가 다 마음을 같이 하여 체휼하며 형제를 사랑하며 불쌍히 여기며 겸손하며
77,A,,마태복음 11:29,나는 마음이 온유하고 겸손하니 나의 멍에를 메고 내게 배우라 그러면 너희 마음이 쉼을 얻으리니
78,B,,사무엘하 22:47,여호와는 생존하시니 나의 바위를 찬송하며 내 구원의 바위이신 하나님을 높일지로다!
79,B,,사무엘상 12:22,여호와께서는 너희로 자기 백성 삼으신 것을 기뻐하신 고로 그 크신 이름을 인하여 자기 백성을 버리지 아니하실 것이요
80,B,,디모데전서 4:4,하나님의 지으신 모든 것이 선하매 감사함으로 받으면 버릴 것이 없나니
81,A,,역대상 16:34,여호와께 감사하라 그는 선하시며 그 인자하심이 영원함이로다
82,C,난해,갈라디아서 5:6,그리스도 예수 안에서는 할례나 무할례가 효력이 없되 사랑으로써 역사하는 믿음 뿐이니라!
83,A,,출애굽기 34:6,여호와께서 그의 앞으로 지나시며 반포하시되 여호와로라! 여호와로라! 자비롭고 은혜롭고 노하기를 더디하고 인자와 진실이 많은 하나님이로라
84,C,서사,여호수아 10:25,여호수아가 군장들에게 이르되 두려워 말며 놀라지 말고 마음을 강하게 하고 담대히 하라 너희가 더불어 싸우는 모든 대적에게 여호와께서 다 이와 같이 하시리라 하고
85,C,조각,골로새서 1:20,그의 십자가의 피로 화평을 이루사 만물 곧 땅에 있는 것들이나 하늘에 있는 것들을 그로 말미암아 자기와 화목케 되기를 기뻐하심이라
86,C,조각,디모데후서 1:9,하나님이 우리를 구원하사 거룩하신 부르심으로 부르심은 우리의 행위대로 하심이 아니요 오직 자기 뜻과 영원한 때 전부터 그리스도 예수 안에서 우리에게 주신 은혜대로 하심이라
87,C,조각,디도서 2:13,복스러운 소망과 우리의 크신 하나님 구주 예수 그리스도의 영광이 나타나심을 기다리게 하셨으니
88,C,서사,다니엘 1:9,하나님이 다니엘로 환관장에게 은혜와 긍휼을 얻게 하신지라
89,A,,고린도전서 15:57,우리 주 예수 그리스도로 말미암아 우리에게 이김을 주시는 하나님께 감사하노니
90,C,난해,에스겔 43:2,이스라엘 하나님의 영광이 동편에서부터 오는데 하나님의 음성이 많은 물소리 같고 땅은 그 영광으로 인하여 빛나니
91,C,서사,열왕기상 17:14,이스라엘 하나님 여호와의 말씀이 나 여호와가 비를 지면에 내리는 날까지 그 통의 가루는 다하지 아니하고 그 병의 기름은 없어지지 아니하리라 하셨느니라
92,A,,데살로니가후서 3:5,주께서 너희 마음을 인도하여 하나님의 사랑과 그리스도의 인내에 들어가게 하시기를 원하노라
93,C,화자,욥기 15:11,하나님의 위로와 네게 온유하게 하시는 말씀을 네가 어찌 작다 하느냐?
94,A,,요한일서 4:8,사랑하지 아니하는 자는 하나님을 알지 못하나니 이는 하나님은 사랑이심이라
95,C,율법,민수기 15:41,나는 너희의 하나님이 되려 하여 너희를 애굽 땅에서 인도하여 낸 여호와 너희 하나님이니라 나는 여호와 너희 하나님이니라
96,A,,창세기 50:20,당신들은 나를 해하려 하였으나 하나님은 그것을 선으로 바꾸사 오늘과 같이 만민의 생명을 구원하게 하시려 하셨나니
97,C,율법,레위기 26:45,내가 그들의 하나님이 되기 위하여 열방의 목전에 애굽에서 인도하여 낸 그들의 열조와 맺은 언약을 그들을 위하여 기억하리라 나는 여호와니라!
98,C,예언,스가랴 9:16,이 날에 그들의 하나님 여호와께서 그들을 자기 백성의 양떼 같이 구원하시리니 그들이 면류관의 보석 같이 여호와의 땅에 빛나리로다
99,C,난해,전도서 9:9,네 헛된 평생의 모든 날 곧 하나님이 해 아래서 네게 주신 모든 헛된 날에 사랑하는 아내와 함께 즐겁게 살지어다 이는 네가 일평생에 해 아래서 수고하고 얻은 분복이니라
100,A,,미가 7:8,나의 대적이여 나로 인하여 기뻐하지 말지어다 나는 엎드러질지라도 일어날 것이요 어두운 데 앉을지라도 여호와께서 나의 빛이되실 것임이로다
101,B,,베드로후서 3:18,오직 우리 주 곧 구주 예수 그리스도의 은혜와 저를 아는 지식에서 자라가라 영광이 이제와 영원한 날까지 저에게 있을지어다
102,C,난해,요한계시록 22:14,그 두루마기를 빠는 자들은 복이 있으니 이는 저희가 생명나무에 나아가며 문들을 통하여 성에 들어갈 권세를 얻으려 함이로다
103,C,율법,열왕기하 17:36,오직 큰 능력과 편 팔로 너희를 애굽에서 인도하여 낸 여호와만 너희가 경외하여 그를 숭배하며 그에게 제사를 드릴 것이며
104,B,,데살로니가전서 5:9,하나님이 우리를 세우심은 노하심에 이르게 하심이 아니요 오직 우리 주 예수 그리스도로 말미암아 구원을 얻게 하신 것이라
105,C,인물,빌레몬서 1:7,형제여 성도들의 마음이 너로 말미암아 평안함을 얻었으니 내가 너의 사랑으로 많은 기쁨과 위로를 얻었노라
106,C,난해,하박국 3:13,"주께서 주의 백성을 구원하시려고, 기름 받은 자를 구원하시려고 나오사 악인의 집머리를 치시며 그 기초를 끝까지 드러내셨나이다"
107,C,서사,요나 2:6,내가 산의 뿌리까지 내려갔사오며 땅이 그 빗장으로 나를 오래도록 막았사오나 나의 하나님 여호와여 주께서 내 생명을 구덩이에서 건지셨나이다
108,C,서사,룻기 4:15,이는 네 생명의 회복자며 네 노년의 봉양자라 곧 너를 사랑하며 일곱 아들보다 귀한 자부가 낳은 자로다
109,B,,유다서 1:21,하나님의 사랑 안에서 자기를 지키며 영생에 이르도록 우리 주 예수 그리스도의 긍휼을 기다리라
110,B,,사사기 6:23,여호와께서 그에게 이르시되 너는 안심하라! 두려워 말라! 죽지 아니하리라! 하시니라
111,C,인물,느헤미야 5:19,"내 하나님이여, 내가 이 백성을 위하여 행한 모든 일을 생각하시고 내게 은혜를 베푸시옵소서!"
112,B,,요한삼서 1:11,사랑하는 자여 악한 것을 본받지 말고 선한 것을 본받으라 선을 행하는 자는 하나님께 속하고 악을 행하는 자는 하나님을 뵈옵지 못하였느니라
113,B,,아모스 5:14,너희는 살기 위하여 선을 구하고 악을 구하지 말지어다 만군의 하나님 여호와께서 너희의 말과 같이 너희와 함께 하시리라
114,A,,예레미야애가 3:22-23,여호와의 자비와 긍휼이 무궁하시므로 우리가 진멸되지 아니함이니이다 이것이 아침마다 새로우니 주의 성실이 크도소이다
115,A,,마가복음 12:30,네 마음을 다하고 목숨을 다하고 뜻을 다하고 힘을 다하여 주 너의 하나님을 사랑하라 하신 것이라
116,B,,시편 18:35,주께서 또 주의 구원하는 방패를 내게 주시며 주의 오른손이 나를 붙들고 주의 온유함이 나를 크게 하셨나이다
117,A,,이사야 40:31,오직 여호와를 앙망하는 자는 새 힘을 얻으리니 독수리의 날개치며 올라감 같을 것이요 달음박질하여도 곤비치 아니하겠고 걸어가도 피곤치 아니하리로다
118,B,,잠언 19:8,지혜를 얻는 자는 자기 영혼을 사랑하고 명철을 지키는 자는 복을 얻느니라
119,C,조각,로마서 5:4,인내는 연단을 연단은 소망을 이루는 줄 앎이로다
120,C,난해,신명기 30:6,네 하나님 여호와께서 네 마음과 네 자손의 마음에 할례를 베푸사 너로 마음을 다하며 성품을 다하여 네 하나님 여호와를 사랑하게 하사 너로 생명을 얻게 하실 것이며
121,C,인물,고린도후서 7:4,내가 너희를 향하여 하는 말이 담대한 것도 많고 너희를 위하여 자랑하는 것도 많으니 내가 우리의 모든 환난 가운데서도 위로가 가득하고 기쁨이 넘치는도다
122,A,,요한복음 13:34,새 계명을 너희에게 주노니 서로 사랑하라! 내가 너희를 사랑한 것같이 너희도 서로 사랑하라
123,B,,히브리서 12:5,또 아들들에게 권하는 것같이 너희에게 권면하신 말씀을 잊었도다 일렀으되 내 아들아! 주의 징계하심을 경히 여기지 말며 그에게 꾸지람을 받을 때에 낙심하지 말라
124,C,서사,사도행전 11:17,그런즉 하나님이 우리가 주 예수 그리스도를 믿을 때에 주신 것과 같은 선물을 저희에게도 주셨으니 내가 누구관대 하나님을 능히 막겠느냐! 하더라
125,C,난해,예레미야 29:7,너희는 내가 사로잡혀 가게 한 그 성읍의 평안하기를 힘쓰고 위하여 여호와께 기도하라 이는 그 성이 평안함으로 너희도 평안할 것임이니라
126,A,,빌립보서 4:13,내게 능력 주시는 자 안에서 내가 모든 것을 할 수 있느니라!
127,C,인물,역대하 19:7,그런즉 너희는 여호와를 두려워하는 마음으로 삼가 행하라! 우리의 하나님 여호와께서는 불의함도 없으시고 편벽됨도 없으시고 뇌물을 받으심도 없으시니라
128,C,인사,에베소서 6:24,우리 주 예수 그리스도를 변함없이 사랑하는 모든 자에게 은혜가 있을지어다!
129,B,,누가복음 9:24,누구든지 제 목숨을 구원코자 하면 잃을 것이요 누구든지 나를 위하여 제 목숨을 잃으면 구원하리라
130,A,,야고보서 1:17,각양 좋은 은사와 온전한 선물이 다 위로부터 빛들의 아버지께로서 내려오나니 그는 변함도 없으시고 회전하는 그림자도 없으시니라
131,A,,베드로전서 5:7,너희 염려를 다 주께 맡겨 버리라 이는 저가 너희를 권고하심이니라
132,A,,마태복음 11:28,수고하고 무거운 짐진 자들아! 다 내게로 오라 내가 너희를 쉬게 하리라
133,B,,사무엘하 22:20,나를 또 넓은 곳으로 인도하시고 나를 기뻐하시므로 구원하셨도다
134,B,,사무엘상 2:7,"여호와는 가난하게도 하시고 부하게도 하시며, 낮추기도 하시고 높이기도 하시는도다"
135,C,조각,디모데전서 6:11,오직 너 하나님의 사람아! 이것들을 피하고 의와 경건과 믿음과 사랑과 인내와 온유를 좇으며
136,C,인물,역대상 17:27,이제 주께서 종의 집에 복을 주사 주 앞에 영원히 두시기를 기뻐하시나이다 여호와여 주께서 복을 주셨사오니 이 복을 영원히 누리리이다 하니라
137,C,인사,갈라디아서 6:18,형제들아! 우리 주 예수 그리스도의 은혜가 너희 심령에 있을지어다! 아멘
138,B,,출애굽기 20:6,나를 사랑하고 내 계명을 지키는 자에게는 천대까지 은혜를 베푸느니라
139,C,서사,여호수아 23:3,너희 하나님 여호와께서 너희를 위하여 이 모든 나라에 행하신 일을 너희가 다 보았거니와 너희 하나님 여호와 그는 너희를 위하여 싸우신 자시니라
140,A,,골로새서 3:15,그리스도의 평강이 너희 마음을 주장하게 하라 평강을 위하여 너희가 한 몸으로 부르심을 받았나니 또한 너희는 감사하는 자가 되라
141,B,,디모데후서 3:15,또 네가 어려서부터 성경을 알았나니 성경은 능히 너로 하여금 그리스도 예수 안에 있는 믿음으로 말미암아 구원에 이르는 지혜가 있게 하느니라
142,C,조각,디도서 1:2,영생의 소망을 인함이라 이 영생은 거짓이 없으신 하나님이 영원한 때 전부터 약속하신 것인데
143,B,,다니엘 2:21,그는 때와 기한을 변하시며 왕들을 폐하시고 왕들을 세우시며 지혜자에게 지혜를 주시고 지식자에게 총명을 주시는도다
144,C,난해,고린도전서 6:11,너희 중에 이와 같은 자들이 있더니 주 예수 그리스도의 이름과 우리 하나님의 성령 안에서 씻음과 거룩함과 의롭다 하심을 얻었느니라
145,B,,에스겔 18:23,나 주 여호와가 말하노라 내가 어찌 악인의 죽는 것을 조금인들 기뻐하랴 그가 돌이켜 그 길에서 떠나서 사는 것을 어찌 기뻐하지 아니하겠느냐
146,C,서사,열왕기상 4:30,솔로몬의 지혜가 동양 모든 사람의 지혜와 애굽의 모든 지혜보다 뛰어난지라
147,C,조각,데살로니가후서 2:17,너희 마음을 위로하시고 모든 선한 일과 말에 굳게 하시기를 원하노라
148,B,,욥기 22:21,너는 하나님과 화목하고 평안하라! 그리하면 복이 네게 임하리라!
149,B,,요한일서 5:1,예수께서 그리스도이심을 믿는 자마다 하나님께로서 난 자니 또한 내신 이를 사랑하는 자마다 그에게 난 자를 사랑하느니라
150,B,,민수기 6:25,여호와는 그 얼굴로 네게 비취사 은혜 베푸시기를 원하며
151,C,서사,창세기 39:21,여호와께서 요셉과 함께 하시고 그에게 인자를 더하사 전옥에게 은혜를 받게 하시매
152,C,율법,레위기 26:13,나는 너희를 애굽 땅에서 인도하여 내어 그 종된 것을 면케 한 너희 하나님 여호와라! 내가 너희 멍에 빗장목을 깨뜨리고 너희로 바로 서서 걷게 하였느니라
153,C,조각,스가랴 8:8,인도하여다가 예루살렘 가운데 거하게 하리니 그들은 내 백성이 되고 나는 성실과 정의로 그들의 하나님이 되리라
154,A,,전도서 4:10,혹시 저희가 넘어지면 하나가 그 동무를 붙들어 일으키려니와 홀로 있어 넘어지고 붙들어 일으킬 자가 없는 자에게는 화가 있으리라
155,A,,미가 6:8,사람아 주께서 선한 것이 무엇임을 네게 보이셨나니 여호와께서 네게 구하시는 것이 오직 공의를 행하며 인자를 사랑하며 겸손히 네 하나님과 함께 행하는 것이 아니냐
156,C,인사,베드로후서 1:2,하나님과 우리 주 예수를 앎으로 은혜와 평강이 너희에게 더욱 많을지어다
157,A,,요한계시록 7:17,이는 보좌 가운데 계신 어린 양이 저희의 목자가 되사 생명수 샘으로 인도하시고 하나님께서 저희 눈에서 모든 눈물을 씻어 주실 것임이러라
158,C,서사,열왕기하 10:10,그런즉 너희는 알라 곧 여호와께서 아합의 집에 대하여 하신 말씀은 하나도 땅에 떨어지지 아니하리라 여호와께서 그 종 엘리야로 하신 말씀을 이제 이루셨도다 하니라
159,A,,데살로니가전서 5:16-18,항상 기뻐하라! 쉬지 말고 기도하라! 범사에 감사하라! 이는 그리스도 예수 안에서 너희를 향하신 하나님의 뜻이니라
160,C,난해,시편 44:3,저희가 자기 칼로 땅을 얻어 차지함이 아니요 저희 팔이 저희를 구원함도 아니라 오직 주의 오른손과 팔과 얼굴의 빛으로 하셨으니 주께서 저희를 기뻐하신 연고니이다
161,B,,이사야 33:2,여호와여 우리에게 은혜를 베푸소서 우리가 주를 앙망하오니 주는 아침마다 우리의 팔이 되시며 환난 때에 우리의 구원이 되소서
162,B,,잠언 16:19,겸손한 자와 함께하여 마음을 낮추는 것이 교만한 자와 함께 하여 탈취물을 나누는 것보다 나으니라
163,C,조각,로마서 4:20,믿음이 없어 하나님의 약속을 의심치 않고 믿음에 견고하여져서 하나님께 영광을 돌리며
164,B,,신명기 5:10,나를 사랑하고 내 계명을 지키는 자에게는 천대까지 은혜를 베푸느니라!
165,A,,고린도후서 9:8,하나님이 능히 모든 은혜를 너희에게 넘치게 하시나니 이는 너희로 모든 일에 항상 모든 것이 넉넉하여 모든 착한 일을 넘치게 하게 하려 하심이라
166,A,,요한복음 3:16,하나님이 세상을 이처럼 사랑하사 독생자를 주셨으니 이는 저를 믿는 자마다 멸망치 않고 영생을 얻게 하려 하심이니라
167,C,조각,히브리서 7:19,이에 더 좋은 소망이 생기니 이것으로 우리가 하나님께 가까이 가느니라
168,C,인물,사도행전 20:32,지금 내가 너희를 주와 및 그 은혜의 말씀께 부탁하노니 그 말씀이 너희를 능히 든든히 세우사 거룩케 하심을 입은 모든 자 가운데 기업이 있게 하시리라
169,C,예언,예레미야 31:2,나 여호와가 이같이 말하노라 칼에서 벗어난 백성이 광야에서 은혜를 얻었나니 곧 내가 이스라엘로 안식을 얻게 하러 갈 때에라
170,A,,빌립보서 4:7,그리하면 모든 지각에 뛰어난 하나님의 평강이 그리스도 예수 안에서 너희 마음과 생각을 지키시리라
171,C,서사,역대하 15:15,온 유다가 이 맹세를 기뻐한지라 무리가 마음을 다하여 맹세하고 뜻을 다하여 여호와를 찾았으므로 여호와께서도 저희의 만난 바가 되시고 그 사방에 평안을 주셨더라
